day,time,name,email_id
today,9:00 PM,a k,a@cb.com
12th may,noon,abc def,ritesh@cb.com
12th may,noon,abc def,ritesh@cb.com
12th may,noon,abc def,ritesh@cb.com
12th may,noon,abc def,ritesh@cb.com
12th nov,10 am,ritesh kumar,stop
12th nov,10 am,ritesh kumar,stop
12th dec,10 pm,ritesh kumar,stop it
12th dec,10 pm,ritesh kumar,stop it
Today,10 pm,Ritesh Kumar,ritesh@circlebase.com
10th dec,hi,ok,hi
go,ok,12345678901,ygtr
go,ok,12345678901,ygtr
11th dec,"7 pm, EST",ritesh kumar,ritesh@cb.com
11th dec,"7 pm, EST",ritesh kumar,ritesh@cb.com
10th march,"7 pm, est",ritesh kumar,abc@def.com
10th dec,5 pm,abc def,abc@gmail.com
9th dec,1 pm,"abc, def",abc@gmail.com
